GRB	Time [UT]	Trigger Number	BAT RA (J2000)	BAT Dec (J2000)
110201A	09:35:08	444230	137.489	88.610
110128A	01:44:33	443861	193.871	28.108
110119A	22:20:58	442978	348.589	5.982
110112A	04:12:18	442039	329.936	26.470
110107A	21:15:51	Ground Analysis|20154	299.890	41.889
110106B	21:26:17	441676	134.155	47.005
110106A	15:25:16	441664	79.295	64.199
110102A	18:52:25	441454	245.877	7.617
101225A	18:37:45	441015	0.2037	44.5739
101224A	05:27:13	440955	285.939	45.706
101219B	16:27:53	440635	12.259	-34.556
101219A	02:31:29	440606	74.586	-2.527
101213A	10:49:23	440285	241.297	21.905
101204A	23:53:29	439806|Ground Analysis|20153	167.548	-20.434
101201A	10:01:48	439595|439596|Ground Analysis|20152	1.955	-16.196
101129A	15:39:31	439471|Ground Analysis|20151	155.921	-17.645
101117B	19:13:23	438675	172.991	-72.651
101114A	00:32:50	438392|Ground Analysis|20150	303.193	14.029
101030A	15:56:29	437408	166.390	-16.389
101024A	11:39:29.82	437016	66.465	-77.261
101023A	22:50:12	436981	317.949	-65.389
101020A	23:40:41	436737	189.607	23.129
101017A	10:32:47	436429	291.377	-35.141
101011A	16:58:35	436094	48.274	-65.990
101008A	16:43:15	435903	328.882	37.060
100928A	02:19:52	435160	223.037	-28.542
100924A	03:58:08	434843	0.672	7.004
100917A	05:03:25	434360	289.250	-17.120
100915A	01:31:05	434178	315.664	65.676
100906A	13:49:27	433509	28.697	55.634
100905A	15:08:14	433442	31.542	14.919
100904A	01:33:43	433273	172.907	-16.185
100902A	19:31:54	433160	48.626	30.970
100901A	13:34:10	433065	27.252	22.751
100823A	17:25:35	432420	20.706	5.848
100816A	00:37:51	431764	351.738	26.568
100814A	03:50:11	431605	22.479	-17.990
100807A	09:13:13	431128	55.283	67.665
100805A	04:12:42	430957	299.846	52.618
100802A	05:45:36	430603	2.482	47.752
100728B	10:31:55	430172	44.051	0.296
100728A	02:18:24	430151	88.753	-15.259
100727A	05:42:17	430094	154.187	-21.417
100725B	11:24:34	429969	290.029	76.955
100725A	07:12:52	429954	166.468	-26.667
100724A	00:42:19	429868	194.569	-11.095
100719A	03:30:57	429357	112.319	-5.857
100704A	03:35:08	426722	133.639	-24.202
100702A	01:03:47	426438	245.693	-56.549
100628A	08:16:40	426114	225.943	-31.653
100625A	18:32:28	425647	15.796	-39.091
100621A	03:03:32	425151	315.309	-51.102
100619A	00:21:07	424998	84.618	-27.012
100615A	01:59:03	424733	177.208	-19.483
100614A	21:38:26	424716	263.534	49.232
100606A	19:12:41	424031	350.617	-66.234
100526B	19:00:38	423184	0.777	-37.913
100526A	16:26:10	423181	230.792	25.623
100522A	03:45:52	422783	6.990	9.397
100514A	18:53:58	421962	328.821	29.170
100513A	02:07:08	421814	169.606	3.617
100508A	09:20:42	421386	76.263	-20.744
100504A	19:20:59	421124	255.575	-35.590
100427A	08:31:55	Ground Analysis|20137	89.171	-3.461
100425A	02:50:45	420398	299.161	-26.463
100424A	16:32:42	420367	209.453	1.512
100423A	00:34:59	420247	136.471	21.487
100420A	05:22:42	419932	296.090	55.755
100418A	21:10:08	419797	256.358	11.457
100413B	08:42:41	419380	356.8264	51.2704
100413A	17:33:28	419404	266.223	15.835
100401A	07:07:31.9	417974|Ground Analysis|20133	290.813	-8.257
100324A	00:21:27	Ground Analysis|20130	98.612	-9.735
100316D	12:44:50	416135	107.599	-56.275
100316C	08:57:59	416115	32.309	-67.992
100316B	08:01:36	416103	163.499	-45.464
100316A	02:23:00	416076	251.953	71.819
100305A	09:05:38	414905	168.373	42.381
100302A	19:53:06	414592	195.504	74.568
100224A	15:20:10	413805|Ground Analysis	83.467	-7.994
100219A	15:15:46	412982	154.202	-12.555
100216A	10:07:00	412522|Ground Analysis|20127	154.263	35.524
100213B	22:58:34	412220	124.320	43.464
100213A	22:27:48	412217	349.379	43.370
100212A	14:07:22	412081	356.445	49.492
100206A	13:30:05	411412	47.168	13.175
100205A	04:18:43	411248	141.385	31.740
100203A	18:31:07	Ground Analysis|411011	96.225	4.793
100119A	18:25:25	383063	299.308	-53.149
100117A	21:06:19	382941	11.280	-1.586
100115A	11:15:19	Ground Analysis|20126	3.333	-0.817
100111A	04:12:49	382399	247.029	15.539
091221	20:52:52	380311	55.798	23.243
091208B	09:49:57	378559	29.411	16.881
091208A	08:46:00	378554	0.295	65.680
091130B	17:59:04	377487	203.149	34.086
091127	23:25:45	377179	36.581	-18.948
091112	17:41:21	375659	257.751	-36.729
091109B	21:49:03	375409	112.750	-54.092
091109A	04:57:43	375246	309.252	-44.177
091104	08:49:22	374875	208.723	47.391
091102	14:34:38	374598	72.622	-72.527
091029	03:53:22	374210	60.166	-55.954
091026	13:11:30	373871	276.657	-86.113
091024	08:56:01	373674	339.240	56.885
091020	21:36:44	373458	175.727	50.977
091018	20:48:19	373172	32.191	-57.546
090929B	10:09:07	371050	117.712	-0.645
090927	10:07:16	370846	343.929	-70.973
090926B	21:55:48	370791	46.310	-38.997
090916	07:00:44	362818	126.582	25.941
090915	15:35:36	Ground Analysis|20112	237.990	15.480
090912	15:50:29	362633	188.046	61.475
090904B	01:24:18	361831	264.194	-25.219
090904A	01:01:06	361830	100.855	50.235
090831C	21:30:25	361489	108.294	-25.112
090827	19:06:26	361029|Ground Analysis|20110	18.435	-50.899
090815C	23:21:39	360068	64.490	-65.943
090814A	00:52:19	359951	239.613	25.586
090813	04:10:43	359884	225.065	88.571
090812	06:02:08	359711	353.20	-10.609
090809	17:31:14	359530	328.665	-0.083
090807	15:00:27	359378	273.741	10.279
090728	14:45:45	358574	29.644	41.632
090727	22:42:18	358520	315.917	64.937
090726	22:42:27	358422	248.681	72.866
090720	06:38:08	357811|Ground Analysis	203.694	-10.335
090715B	21:03:14	357512	251.337	44.837
090715A	17:25:39	357498	152.102	10.006
090712	03:51:05	357072	70.097	22.525
090709B	15:07:42	356912	93.522	64.081
090709A	07:38:34	356890	289.944	60.728
090708	03:38:15	356776	154.632	26.616
090628	21:20:12	355942	237.038	-15.969
090621B	22:07:25	355359	313.455	69.034
090621A	04:22:43	355303	10.987	61.938
090618	08:28:29	355083	294.008	78.352
090607	05:30:17	354299	191.194	44.108
090531B	18:35:56	353728	252.070	-36.015
090531A	01:45:17	353627	178.672	7.824
090530	03:18:18	353567	179.400	26.590
090529	14:12:35	353540	212.446	24.450
090520	01:37:16	352671	11.613	-8.000
090519	21:08:56	352648	142.317	0.190
090518	01:54:44	352420	119.957	0.778
090516A	08:27:50	352190	138.246	-11.848
090515	04:45:09	352108	164.166	14.469
090510	00:23:00	351588	333.552	-26.598
090509	05:10:03	351525	241.422	-28.385
090429B	05:30:03	350854	210.672	32.167
090429A	04:53:39	350853	90.573	-52.389
090426	12:48:47	350479	189.082	32.978
090424	14:12:09	350311	189.531	16.829
090423	07:55:19	350184	148.891	18.165
090422	03:35:16	349931	294.746	40.398
090419	13:43:31	349592	197.006	-75.615
090418B	08:59:02	BATSS	225.910	17.224
090418A	11:07:40	349510	269.320	33.407
090417B	15:20:03	349450	209.687	47.015
090417A	13:17:23	349447	34.993	-7.141
090410	16:57:52	348929	334.956	15.419
090407	10:28:25	348650	68.979	-12.684
090404	15:56:30	348428	239.233	35.518
090401B	08:35:25	348152	95.095	-8.963
090401A	00:00:59	348128	350.920	29.762
090313	09:06:27	346386	198.400	8.086
090309A	23:29:13	345945	284.978	-25.274
090308A	18:01:23	345777	183.545	-48.754
090307A	03:46:37	345551	245.007	-28.647
090306B	23:07:02	BATSS	231.204	-6.958
090305A	05:19:51	345127	241.764	-31.572
090301A	06:55:55	344582	338.142	26.639
090205	23:03:14	342121	220.917	-27.848
090201	17:47:02	341749	92.051	-46.604
090129	21:07:15	341504	269.105	-32.793
090123	07:51:56	340895	6.794	-23.503
090118	13:54:02	BATSS	49.865	18.478
090113	18:40:39	339852	32.067	33.436
090111	23:58:21	339696	251.656	0.067
090107A	04:48:04	339295	302.409	4.744
090102	02:55:45	338895	128.248	33.107
081230	20:36:12	338633	37.330	-25.145
081228	01:17:40	338338	39.477	30.833
081226A	01:03:37	338177	120.478	-69.014
081222	04:53:59	337914	22.748	-34.095
081221	16:21:11	337889	15.801	-24.542
081211B	06:15:02	BATSS	168.231	53.845
081211A	11:48:10	337115	328.082	-33.818
081210	20:19:34	337073	70.485	-11.263
081203B	13:57:11	BATSS	228.789	44.427
081203A	13:57:11	336489	233.071	63.514
081128	17:18:44	335895	20.800	38.123
081127	07:05:08	335715	332.075	6.858
081126	21:34:10	335647	323.526	48.714
081121	20:35:32	335105	89.282	-60.612
081118	14:56:36	334877	82.572	-43.305
081109A	07:02:06	334112	330.798	-54.711
081104	09:34:42	333666	100.500	-54.722
081102	17:44:39	333427	331.178	52.991
081101	11:46:31	333320	95.836	-0.112
081029	01:43:56	332931	346.776	-68.179
081028A	00:25:00	332851	121.893	2.305
081025	08:22:02	BATSS	245.298	60.466
081024A	05:53:0	332516	27.891	61.352
081022	14:23:48	332399	226.584	12.409
081017	23:38:12	331964	230.209	-32.790
081016B	19:47:14	331856	14.582	-43.536
081012	13:10:23	331475	30.184	-17.627
081011	00:28:50	331332	220.363	33.548
081008	19:58:09	331093	279.968	-57.433
081007	05:23:52	330856	339.963	-40.146
080928	15:01:32	326115	95.061	-55.176
080919	00:05:13	325268	265.221	-42.375
080916B	14:44:47	324907	163.632	69.061
080916A	09:45:20	324895	336.289	-57.026
080915B	15:53:35	324805	213.088	-11.491
080915A	00:02:49	324744	17.911	-76.042
080913	06:46:54	324561	65.741	-25.127
080906	13:33:16	323984	228.055	-80.540
080905B	16:55:45	323898	301.746	-62.568
080905A	11:58:54	323870	287.663	-18.865
080903	01:12:23	323542	86.790	51.256
080822B	21:02:52	321376	63.560	25.760
080810	13:10:12	319584	356.783	0.310
080805	07:41:34	319036	314.231	-62.433
080804	23:20:14	319016	328.675	-53.189
080802	15:12:21	318832	270.729	-32.329
080727C	23:07:35	318170	32.638	64.130
080727B	08:13:24	318101	276.871	1.173
080727A	05:57:39	318094	208.416	-18.572
080725	10:26:14	317888	121.699	-13.984
080723A	04:19:24	317662	274.461	-6.910
080721	10:25:16	317508	224.481	-11.709
080714	17:52:56	316910	188.104	-60.274
080710	07:13:10	316534	8.259	19.484
080707	08:27:53	316204	32.627	33.100
080703	19:00:13	315819	101.822	-63.211
080702B	01:10:41	BATSS	355.616	-5.424
080702A	11:50:43	315710	313.049	72.278
080701	10:13:37	315615	45.944	75.481
080623	10:25:28	315080	237.667	-62.044
080613B	11:12:37	313954	173.806	-7.102
080607	06:07:27	313417	194.964	15.910
080605	23:47:57	313299	262.130	4.010
080604	07:27:01	313116	236.960	20.557
080603B	19:38:13	313087	176.554	68.061
080602	01:30:28	312958	19.177	-9.239
080524	04:13:00	312277	268.449	80.143
080523	21:21:51	312242	20.769	-64.060
080520	22:20:24	312047	280.179	-54.964
080517	21:22:51	311874	102.274	50.741
080516	00:17:07	311762	120.661	-26.146
080515	06:01:13	311658	3.166	32.564
080506	17:46:21	311159	329.467	38.961
080503	12:26:13	310785	286.686	68.803
080430	19:53:02	310613	165.331	51.682
080426	13:23:22	310219	26.510	69.469
080413B	08:51:12	309111	326.138	-19.981
080413A	02:54:19	309096	287.301	-27.677
080411	21:15:32	309010	37.961	-71.297
080409	01:22:57	308812	84.304	5.078
080330	03:41:16	308041	169.278	30.607
080328	08:03:04	307931	80.490	47.523
080325	04:09:17	307604	277.906	36.516
080320	04:37:38	306858	177.763	57.162
080319D	17:05:09	306793	99.479	23.982
080319C	12:25:56	306778	259.006	55.393
080319B	06:12:49	306757	217.919	36.300
080319A	05:45:42	306754	206.352	44.080
080315	02:25:01	306323	155.124	41.701
080310	08:37:58	305288	220.040	-0.164
080307	11:23:30	305011	136.629	35.151
080303	09:10:35	304549	112.019	-70.231
080229A	17:04:59	304379	228.220	-14.697
080218B	23:57:47	303631	177.927	-53.086
080218A	20:08:42	303609	355.941	12.159
080212	17:34:33	303105	231.145	-22.739
080210	07:50:05	302888	251.259	13.826
080207	21:30:21	302728	207.514	7.492
080205	07:55:51	302506	98.261	62.782
080130	11:13:59	BATSS	261.632	-53.190
080129	06:06:45	301981	105.297	-7.840
080123	04:21:57	301578	338.974	-64.930
080121	21:29:55	301491	137.235	41.841
071227	20:13:47	299787	58.132	-55.959
071129	00:03:55	297628	220.039	-26.667
071122	01:23:25	297114	276.576	47.102
071118	08:57:17	296856	299.839	70.130
071117	14:50:06	296805	335.026	-63.442
071112C	18:32:57	296504	39.218	28.368
071112B	18:23:31	296503	260.213	-80.884
071101	17:53:46	295779	48.179	62.524
071031	01:06:36	295670	6.399	-58.048
071028B	02:43:46	295492|Ground Analysis	354.163	-31.630
071028A	17:41:01	295527	119.828	21.473
071025	04:08:54	295301	355.065	31.784
071021	09:41:33	294974	340.573	23.764
071020	07:02:26	294835	119.666	32.857
071018	08:37:41	294645	164.685	53.822
071013	12:09:19	294120	279.501	33.846
071011	12:40:13	293924	8.395	61.132
071010C	22:20:22	293804|Ground Analysis	338.054	66.159
071010B	20:45:47	293795	150.531	45.733
071010A	03:41:12	293707	288.040	-32.385
071008	21:55:56	293587	151.571	44.303
071006	06:41:40	293250|Ground Analysis	335.294	-23.147
071003	07:40:55	292934	301.857	10.954
071001	16:31:48	292826	149.707	-59.763
070923	19:15:23	292004	184.623	-38.294
070920B	21:04:32	291728	0.127	-34.844
070920A	04:00:13	291614	100.968	72.250
070917	07:33:56	291292	293.923	2.420
070913	00:36:43	290843	228.737	-24.278
070911	05:57:44	290624	25.819	-33.484
070810B	15:19:17	287409	8.952	8.822
070810A	02:11:52	287364	189.947	10.747
070809	19:22:17	287344	203.767	-22.119
070808	18:28:00	287260	6.761	1.180
070805	19:55:45	287088	245.057	-59.957
070802	07:07:25	286809	36.903	-55.517
070731	09:33:22	286574	328.581	-15.740
070729	00:25:53	286373	56.296	-39.330
070724A	10:53:50	285948	27.824	-18.610
070721B	10:33:48	285654	33.128	-2.198
070721A	10:01:08	285653	3.144	-28.530
070714B	04:59:29	284856	57.853	28.294
070714A	03:20:31	284850	42.933	30.241
070704	20:05:57	283791	354.707	66.257
070628	14:41:02	283320	115.271	-20.281
070621	23:17:39	282808	323.806	-24.809
070616	16:29:34	282445	32.096	56.946
070612B	06:21:18	282073	261.716	-8.747
070612A	02:38:46	282066	121.355	37.258
070611	01:57:14	282003	2.004	-29.756
070531	02:10:18	280958	6.714	74.315
070529	12:48:28	280706	283.717	20.648
070521	06:51:11	279935	242.659	30.260
070520B	17:44:53	279898	121.886	57.588
070520A	13:05:10	279817	193.255	75.005
070518	14:26:21	279592	254.219	55.289
070517	11:20:58	279494	277.556	-62.305
070509	02:48:27	278903	237.874	-78.657
070508	04:18:18	278854	312.832	-78.382
070506	05:35:58	278693	347.203	10.711
070429B	03:09:04	277582	328.006	-38.857
070429A	01:35:10	277571	297.695	-32.420
070427	08:31:09	277356	28.871	-27.603
070420	06:18:14	276321	121.245	-45.564
070419B	10:44:06	276212	315.709	-31.266
070419A	09:59:26	276205	182.755	39.903
070412	01:27:03	275119	181.525	40.133
070411	20:12:33	275087	107.342	1.061
070406	00:50:39	274153	198.956	16.530
070330	22:51:31	273180	269.533	-63.799
070328	03:53:53	272773	65.113	-34.079
070326	16:29:12	BATSS	40.337	-66.989
070318	07:28:56	271019	48.486	-42.950
070306	16:41:28	263361	148.154	10.440
070227	22:21:59	262347|Ground Analysis	120.578	-46.302
070224	20:27:58	261880	178.988	-13.355
070223	01:15:01	261664	153.453	43.132
070220	04:44:33	261299	34.800	68.800
070219	01:10:16	261132	260.220	69.345
070209	03:33:42	259803	46.213	-47.376
070208	09:10:34	259714	197.891	61.942
070129	23:35:10	258408	36.995	11.728
070126	02:33:26	257741	33.503	-73.553
070110	07:22:42	255445	0.934	-52.978
070107	12:05:18	255029	159.422	-53.202
070103	20:46:39	254532	352.581	26.823
061222B	04:11:02	252593	105.353	-25.866
061222A	03:28:52	252588	358.254	46.524
061218	04:05:06	251863	149.260	-35.217
061217	03:40:08	251634	160.403	-21.152
061210	12:20:39	243690	144.521	15.613
061202	08:11:45	241963	105.255	-74.602
061201	15:58:37	241840	332.079	-74.568
061126	08:47:56	240766	86.615	64.204
061121	15:22:29	239899	147.228	-13.188
061110B	21:58:46	238174	323.912	6.872
061110A	11:47:21	238108	336.284	-2.252
061102	01:00:31	236430	148.394	-17.022
061028	01:26:22	235715	97.193	46.290
061027	10:15:02	235645	270.992	-82.239
061021	15:39:08	234905	145.146	-21.953
061019	04:19:07	234516	91.675	29.527
061007	10:08:09	232683	46.299	-50.496
061006	16:45:51	232585	110.998	-79.195
061004	19:50:31	232339	97.795	-45.903
061002	01:03:30	231974	220.356	48.726
060929	19:55:01	231702	263.148	29.825
060927	14:07:35	231362	329.547	5.370
060926	16:48:42	231231	263.926	13.039
060923C	13:33:03	230711	346.122	3.943
060923B	11:38:06	230702	238.193	-30.907
060923A	05:12:15	230662	254.623	12.341
060919	07:48:39	230115	276.900	-50.994
060912A	13:55:54	229185	5.285	20.971
060908	08:57:22	228581	31.828	0.335
060906	08:32:47	228316	40.709	30.362
060904B	02:31:04	228006	58.218	-0.729
060904A	01:03:21	227996	237.731	44.984
060825	02:59:58	226382	18.132	55.796
060814	23:02:19	224552	221.338	20.591
060813	22:50:23	224364	111.890	-29.844
060807	14:41:35	223217	252.520	31.591
060805A	04:47:49	222683	220.928	12.580
060804	07:28:20	222546	112.219	-27.225
060801	12:16:15	222154	212.989	16.988
060729	19:12:29	221755	95.287	-62.221
060728	22:24:31	221627	16.644	-41.390
060719	06:50:37	220020	18.420	-48.381
060717	09:07:39	219646	170.857	28.982
060714	15:12:00	219101	227.855	-6.544
060712	21:07:44	218582	184.067	35.540
060708	12:15:59	217805	7.831	-33.751
060707	21:30:19	217704	357.069	-17.904
060614	12:43:49	214805	320.877	-53.027
060607B	23:32:44	213934	42.043	14.755
060607A	05:12:13	213823	329.705	-22.496
060605	18:15:45	213630	322.128	-6.071
060604	18:19:00	213486	337.224	-10.945
060602A	21:32:12	213180	149.579	0.314
060526	16:28:30	211957	232.834	0.288
060522	02:11:19	211117	322.954	2.895
060516	06:43:35	210254	71.170	-18.126
060515	02:27:53	210084	127.277	73.561
060512	23:13:21	209755	195.748	41.209
060510B	08:22:15	209352	239.259	78.591
060510A	07:43:28	209351	95.860	-1.163
060507	01:53:12	208870	89.911	75.250
060505	06:36:01	208654	331.772	-27.815
060502B	17:24:41	208275	278.927	52.618
060502A	03:03:32	208169	240.937	66.604
060501	08:14:59	208050	328.374	44.002
060428B	08:54:39	207399	235.369	62.016
060428A	03:22:48	207364	123.540	-37.167
060427	11:43:11	207281	124.177	62.657
060424	04:16:20	206773	7.359	36.787
060421	00:39:23	206257	343.629	62.730
060418	03:06:08	205851	236.431	-3.640
060413	18:40:23	205096	291.287	13.746
060403	13:12:17	203755	282.338	8.327
060323	14:32:36	202505	174.421	50.000
060322	23:00:21	202442	274.230	-36.710
060319	00:55:43	202035	176.379	60.038
060313	00:12:06	201487	66.625	-10.858
060312	01:36:13	201391	45.780	12.827
060306	00:49:11	200638	41.097	-2.163
060223B	19:41:05	192152	254.238	-30.812
060223A	06:04:24	192059	55.186	-17.134
060219	22:48:05	191512	241.851	32.309
060218	03:34:31	191157	50.380	16.910
060211B	15:55:15	181156	75.085	14.959
060211A	09:39:11	181126	58.381	21.489
060210	04:58:50	180977	57.727	27.015
060206	04:46:53	180455	202.933	35.046
060204B	14:34:24	180241	211.805	27.675
060203	23:55:35	180151	103.463	71.841
060202	08:40:55	179968	35.809	38.377
060124	15:54:52	178750	77.097	69.727
060123	22:22:40	Ground Analysis|20028	179.750	45.513
060117	06:50:02	177666	327.912	-59.982
060116	08:37:27	177533	84.698	-5.438
060115	13:08:01	177408	54.007	17.339
060111B	20:15:43	176918	286.456	70.380
060111A	04:23:06	176818	276.193	37.600
060110	08:01:18	176702	72.737	28.428
060109	16:54:41	176620	282.735	32.011
060108	14:39:12	176453	147.013	31.935
060105	06:49:27	175942	297.485	46.356
060102	21:17:28	175603	328.839	-1.837
051227	18:07:16	174738	125.231	31.949
051221B	20:03:20	173904	312.378	53.041
051221A	01:51:16	173780	328.715	16.888
051213	07:13:04	172516	252.084	-59.233
051210	05:46:21	171931	330.192	-57.622
051117B	13:22:54	164279	85.205	-19.286
051117A	10:51:20	164268	228.398	30.868
051114	04:11:28	163844|Ground Analysis	226.290	60.154
051113	15:22:35	163765	187.242	-26.395
051111	05:59:41	163438	348.136	18.367
051109B	08:39:39	163170	345.469	38.663
051109A	01:12:21	163136	330.316	40.850
051105A	06:26:41	162580	265.279	34.916
051021B	23:31:54	160672	126.059	-45.534
051016B	18:28:09	159994	132.123	13.629
051016A	05:23:31	159913	122.814	-18.299
051012	17:05:54	159413|Ground Analysis|20017	270.513	-52.799
051008	16:33:21	158855	202.865	42.103
051006	20:30:33	158593	110.807	9.510
051001	11:11:36	157870	350.984	-31.515
050925	09:04:34	156838	303.490	34.329
050922C	19:55:50	156467	317.383	-8.764
050922B	15:02:00	156434	5.790	-5.607
050916	16:35:52	155408	135.979	-51.406
050915B	21:23:04	155284	219.109	-67.411
050915A	11:22:42	155242	81.688	-28.014
050911	15:59:34	154630	13.710	-38.856
050908	05:42:31	154112	20.457	-12.950
050906	10:32:05	153866	52.802	-14.621
050904	01:51:44	153514	13.770	14.189
050827	18:57:15	152325	64.294	18.219
050826	06:18:10	152113	87.761	-2.658
050824	23:12:16	151905	12.264	22.602
050822	03:49:29	151486	51.106	-46.030
050820B	23:50:27	151334	135.607	-72.640
050820A	06:34:53	151207	337.416	19.560
050819	16:23:55	151131	358.751	24.871
050815	17:25:19	150532	293.584	9.139
050814	11:38:57	150314	264.196	46.324
050813	06:45:10	150139	242.001	11.244
050803	19:14:00	148833	350.650	5.788
050802	10:08:02	148646	219.283	27.799
050801	18:28:02	148522	204.144	-21.930
050730	19:58:23	148225	212.069	-3.754
050726	05:00:18	147788	200.024	-32.064
050724	12:34:09	147478	246.175	-27.526
050721	04:29:14	146970	253.453	-28.386
050717	10:30:52	146372	214.348	-50.541
050716	12:36:04	146227	338.593	38.683
050715	22:30:26	146129	155.641	-0.029
050714B	22:40:32	145994	169.691	-15.547
050713B	12:07:18	145754	307.821	60.936
050713A	04:29:02	145675	320.585	77.072
050712	14:00:28	145581	77.722	64.924
050701	11:42:59	143708	227.241	-59.399
050607	09:11:23	132247	300.180	9.139
050603	06:29:05	131560	39.982	-25.175
050528	04:06:45	130679	353.524	45.957
050525A	00:02:53	130088	278.142	26.335
050509B	04:00:19	118749	189.046	28.974
050509A	01:46:29	118707	310.573	54.076
050507	22:43:18	118248	48.063	-11.064
050505	23:22:21	117504	141.760	30.266
050502B	09:25:40	116116	142.535	16.987
050422	07:52:40	115214	324.507	55.788
050421	04:11:52	115135	307.341	73.678
050418	11:00:35	114893	44.334	-18.541
050416B	22:35:54	114797	133.848	11.186
050416A	11:04:44	114753	188.485	21.058
050412	05:44:03	114485	181.099	-1.193
050410	12:14:34	114298|114299	89.757	79.605
050406	15:58:48	113872	34.410	-50.180
050401	14:20:15	113120	247.873	2.185
050326	09:53:56	112453	6.871	-71.377
050319	09:31:18	111622	154.172	43.581
050318	15:44:37	111529	49.695	-46.386
050315	20:59:43	111063	306.476	-42.591
050306	03:33:12	107547	282.309	-9.152
050223	03:09:06	106709	271.394	-62.465
050219B	21:05:51	106442	81.306	-57.758
050219A	12:40:01	106415	166.416	-40.681
050215B	02:33:43	106107	174.463	40.797
050215A	02:15:29	106106	348.403	49.328
050202	03:35:15	104298	290.584	-38.730
050128	04:19:55	103906	219.587	-34.765
050126	12:00:54	103780	278.115	42.384
050124	11:30:03	103647	192.877	13.039
050117	12:52:36	102861	358.479	65.939
041228	10:49:14	100970	336.642	5.032
041226	20:34:19	100815	79.689	73.329
041224	20:20:58	100703	56.192	-6.663
041223	14:06:18	100585	100.204	-37.068
041220	22:58:27	100433	291.288	60.598
041219C	20:30:34	100380*	343.926	-76.744
041219B	15:38:48	100367*	167.674	-33.458
041219A	01:42:18	100307|100319	6.154	62.847
041217	07:28:25	100116*	164.793	-17.942
