trigger_name,name          ,lii     ,bii     ,trigger_type
bn111106614 ,SFLARE11110661,338.8590, 38.8898,SFLARE      
bn131106078 ,SFLARE13110607,338.8195, 38.9273,SFLARE      
bn140205481 ,SFLARE14020548, 33.9270,-38.9030,SFLARE      
bn131105948 ,SFLARE13110594,338.7125, 39.0272,SFLARE      
bn140205613 ,SFLARE14020561, 34.0363,-39.0054,SFLARE      
bn131105877 ,SFLARE13110587,338.6534, 39.0821,SFLARE      
bn140205685 ,SFLARE14020568, 34.0969,-39.0620,SFLARE      
bn131105832 ,SFLARE13110583,338.6159, 39.1169,SFLARE      
bn140205713 ,SFLARE14020571, 34.1204,-39.0836,SFLARE      
bn111106273 ,SFLARE11110627,338.5775, 39.1524,SFLARE      
bn131105756 ,SFLARE13110575,338.5534, 39.1750,SFLARE      
bn150827923 ,DISTPAR1508279,215.6169,-31.3417,DISTPAR     
bn110901230 ,GRB110901230  ,247.2612, 24.0865,GRB         
bn100207721 ,GRB100207721  , 35.5049,-41.4570,GRB         
bn141105772 ,SFLARE14110577,338.3544, 39.3594,SFLARE      
bn131105345 ,SFLARE13110534,338.2104, 39.4913,SFLARE      
bn100301068 ,GRB100301068  ,230.1614, -0.8393,GRB         
bn160101013 ,LOCLPAR1601010,248.4044, 25.4830,LOCLPAR     
bn131105160 ,SFLARE13110516,338.0557, 39.6326,SFLARE      
bn140206475 ,SFLARE14020647, 34.7629,-39.6752,SFLARE      
bn140206496 ,SFLARE14020649, 34.7808,-39.6914,SFLARE      
bn100722096 ,GRB100722096  ,354.6969, 28.2745,GRB         
bn120524134 ,GRB120524134  , 70.0816,-72.1324,GRB         
bn170816258 ,GRB170816258  ,112.6152,-78.3084,GRB         
bn150501017 ,GRB150501017  ,202.1019,-53.6894,GRB         
bn100206787 ,SFLARE10020678, 35.0507,-39.9359,SFLARE      
